gene_name	biotype_99	biotype_110	status
PYY2	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
RAB6C-AS1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
RAET1K	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
RBMY2FP	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
RHOXF1P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
RHOXF1P3	transcribed_unprocessed_pseudogene	protein_coding	GAIN
RMRP	lncRNA,ribozyme	ribozyme	LOSS
RNF216P1	transcribed_unprocessed_pseudogene	lncRNA	GAIN
ROCK1P1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
RP9P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
RPL23AP7	transcribed_processed_pseudogene	lncRNA,transcribed_processed_pseudogene	GAIN
RRN3P3	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
RRP7BP	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
S100A7L2	protein_coding	unprocessed_pseudogene	LOSS
SAA3P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SACM1L	polymorphic_pseudogene	protein_coding	GAIN
SBDSP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SCYGR10	polymorphic_pseudogene	protein_coding	GAIN
SDHAP1	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SEPTIN7P9	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SERPINA13P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SERPINA2	polymorphic_pseudogene	protein_coding	GAIN
SIGLEC16	transcribed_unprocessed_pseudogene	protein_coding	GAIN
SIGLEC17P	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SLC25A51P4	transcribed_unprocessed_pseudogene	lncRNA,transcribed_unprocessed_pseudogene	GAIN
SLC35E2A	protein_coding	transcribed_unprocessed_pseudogene	LOSS
SLC66A1L	protein_coding	transcribed_unitary_pseudogene	LOSS
